Branch,Customer_type,Gender,Product_line,Unit_price,Quantity,Total,Date
A,Member,Female,Health and beauty,74.69,7,548.9715,2019-05-01
C,Normal,Female,Electronic accessories,15.28,5,80.22,2019-08-03
A,Normal,Male,Home and lifestyle,46.33,7,340.5255,2019-03-03
A,Member,Male,Health and beauty,58.22,8,489.048,2019-03-04
A,Normal,Male,Sports and travel,86.31,7,634.3785,2019-03-05
C,Normal,Male,Electronic accessories,85.39,7,627.6165,2019-03-06
A,Member,Female,Electronic accessories,68.84,6,433.692,2019-03-07
C,Normal,Female,Home and lifestyle,73.56,10,772.38,2019-03-08
A,Member,Female,Health and beauty,36.26,2,76.146,2019-03-09
B,Member,Female,Food and beverages,54.84,3,172.746,2019-03-10
B,Member,Female,Fashion accessories,14.48,4,60.816,2019-03-11
B,Member,Male,Electronic accessories,25.51,4,107.142,2019-03-12
A,Normal,Female,Electronic accessories,46.95,5,246.4875,2019-03-13
A,Normal,Male,Food and beverages,43.19,10,453.495,2019-03-14
A,Normal,Female,Health and beauty,71.38,10,749.49,2019-03-15
B,Member,Female,Sports and travel,93.72,6,590.436,2019-03-16
A,Member,Female,Health and beauty,68.93,7,506.6355,2019-03-17
A,Normal,Male,Sports and travel,72.61,6,457.443,2019-03-18
A,Normal,Male,Food and beverages,54.67,3,172.2105,2019-03-19
B,Normal,Female,Home and lifestyle,40.3,2,84.63,2019-03-20
C,Member,Male,Electronic accessories,86.04,5,451.71,2019-03-21
B,Normal,Male,Health and beauty,87.98,3,277.137,2019-03-22
B,Normal,Male,Home and lifestyle,33.2,2,69.72,2019-03-23
A,Normal,Male,Electronic accessories,34.56,5,181.44,2019-03-24
A,Member,Male,Sports and travel,88.63,3,279.1845,2019-03-25
A,Member,Female,Home and lifestyle,52.59,8,441.756,2019-03-26
B,Normal,Male,Fashion accessories,33.52,1,35.196,2019-03-27
A,Normal,Female,Fashion accessories,87.67,2,184.107,2019-03-28
B,Normal,Female,Food and beverages,88.36,5,463.89,2019-03-29
A,Normal,Male,Health and beauty,24.89,9,235.2105,2019-03-30
B,Normal,Male,Fashion accessories,94.13,5,494.1825,2019-03-31
B,Member,Male,Sports and travel,78.07,9,737.7615,2019-04-01
B,Normal,Male,Sports and travel,83.78,8,703.752,2019-04-02
